1,020689	1,020689	p
2,115978	2,115978	p
3,201507	3,201507	p
4,298190	4,298190	p
5,403843	5,403843	p
6,517353	6,517353	p
7,638941	7,638941	p
8,745579	8,745579	p
9,854114	9,854114	p
10,963347	10,963347	p
12,073277	12,073277	p
13,184246	13,184246	p
14,297320	14,297320	p
15,403067	15,403067	p
16,522746	16,522746	p
17,630596	17,630596	p
18,748892	18,748892	p
19,863703	19,863703	p
20,961780	20,961780	p
22,080774	22,080774	p
23,194887	23,194887	p
24,303148	24,303148	p
25,515142	25,515142	f
26,151679	26,151679	f
26,793793	26,793793	f
27,420569	27,420569	f
28,054316	28,054316	f
28,687367	28,687367	f
29,325298	29,325298	f
29,945102	29,945102	f
30,580941	30,580941	f
31,217477	31,217477	f
