0,611014	0,611014	p
1,708976	1,708976	p
2,811240	2,811240	p
3,906333	3,906333	p
4,999274	4,999274	p
6,102973	6,102973	p
7,201652	7,201652	p
8,302308	8,302308	p
9,394706	9,394706	p
10,494906	10,494906	p
11,596366	11,596366	p
12,695762	12,695762	p
13,794440	13,794440	p
14,890967	14,890967	p
15,992515	15,992515	p
17,097334	17,097334	p
18,188437	18,188437	p
19,287116	19,287116	p
20,386512	20,386512	p
21,483756	21,483756	p
22,591146	22,591146	p
23,599358	23,599358	f
24,230452	24,230452	f
24,864416	24,864416	f
25,498186	25,498186	f
26,125171	26,125171	f
26,762003	26,762003	f
27,397401	27,397401	f
