1,103864	1,103864	p
2,238331	2,238331	p
3,271407	3,271407	p
4,390572	4,390572	p
5,509738	5,509738	p
6,638037	6,638037	p
7,740663	7,740663	p
8,854428	8,854428	p
9,968192	9,968192	p
11,055969	11,055969	p
12,143746	12,143746	p
13,293398	13,293398	p
14,414588	14,414588	p
15,528352	15,528352	p
16,633454	16,633454	p
17,743506	17,743506	p
18,862221	18,862221	p
19,962373	19,962373	p
21,082325	21,082325	p
22,192377	22,192377	p
23,306141	23,306141	p
24,417431	24,417431	p
26,085164	26,085164	f
26,687791	26,687791	f
27,319115	27,319115	f
27,921743	27,921743	f
28,553067	28,553067	f
29,155694	29,155694	f
29,758322	29,758322	f
30,447039	30,447039	f
31,049667	31,049667	f
31,680991	31,680991	f
