0,818591	0,818591	p
1,928956	1,928956	p
3,027284	3,027284	p
4,153740	4,153740	p
5,284368	5,284368	p
6,388655	6,388655	p
7,488890	7,488890	p
8,605334	8,605334	p
9,719752	9,719752	p
10,824039	10,824039	p
11,942510	11,942510	p
13,048823	13,048823	p
14,151084	14,151084	p
15,277881	15,277881	p
16,375868	16,375868	p
17,484686	17,484686	p
18,606730	18,606730	p
19,717096	19,717096	p
20,821383	20,821383	p
21,939854	21,939854	p
23,046167	23,046167	p
24,158559	24,158559	p
25,741033	25,741033	f
26,383343	26,383343	f
26,990924	26,990924	f
27,633517	27,633517	f
28,264081	28,264081	f
28,910033	28,910033	f
29,537237	29,537237	f
30,164260	30,164260	f
30,796439	30,796439	f
31,432670	31,432670	f
