1,105921	1,105921	p
2,215764	2,215764	p
3,337372	3,337372	p
4,481512	4,481512	p
5,558239	5,558239	p
6,693167	6,693167	p
7,857196	7,857196	p
8,933923	8,933923	p
9,999566	9,999566	p
11,112546	11,112546	p
12,223958	12,223958	p
13,335369	13,335369	p
14,447565	14,447565	p
15,555055	15,555055	p
16,674716	16,674716	p
17,780231	17,780231	p
18,891642	18,891642	p
19,992857	19,992857	p
21,111328	21,111328	p
22,224308	22,224308	p
23,333367	23,333367	p
24,449484	24,449484	p
25,556974	25,556974	p
26,776625	26,776625	f
27,415078	27,415078	f
28,042551	28,042551	f
28,678652	28,678652	f
29,304556	29,304556	f
29,944648	29,944648	f
30,580679	30,580679	f
31,205015	31,205015	f
31,839547	31,839547	f
32,474863	32,474863	f
