1,075110	1,075110	p
2,184551	2,184870	p
3,256454	3,256454	p
4,357025	4,357025	p
5,467860	5,467860	p
6,584937	6,584937	p
7,705804	7,705804	p
8,805189	8,805189	p
9,909628	9,909628	p
11,025441	11,025441	p
12,139990	12,139990	p
13,257066	13,257066	p
14,361505	14,361505	p
15,475928	15,475928	p
16,586812	16,586812	p
17,700097	17,700097	p
18,815910	18,815910	p
19,927931	19,927931	p
21,033635	21,033635	p
22,149447	22,149447	p
23,257678	23,257678	p
24,372227	24,372227	p
25,958121	25,958121	f
26,597533	26,597533	f
27,217263	27,217263	f
27,867987	27,867987	f
28,490497	28,490497	f
29,119800	29,119800	f
29,747840	29,747840	f
30,392307	30,392307	f
31,026665	31,026665	f
31,659165	31,659165	f
