0,898649	0,898649	p
1,983405	1,983405	p
3,083303	3,083303	p
4,173239	4,173239	p
5,263972	5,263972	p
6,359886	6,359886	p
7,456198	7,456198	p
8,553308	8,553308	p
9,650020	9,650020	p
10,768486	10,768486	p
11,843440	11,843440	p
12,941745	12,941745	p
14,040846	14,040846	p
15,137956	15,137956	p
16,243434	16,243434	p
17,344927	17,344927	p
18,444826	18,444826	p
19,538348	19,538348	p
20,637450	20,637450	p
21,736153	21,736153	p
22,830871	22,830871	p
23,851067	23,851067	f
24,477930	24,477930	f
25,111567	25,111567	f
25,741220	25,741220	f
26,376451	26,376451	f
27,012081	27,012081	f
